OBJECT_NAME,OBJECT_ID,OBJECT_TYPE,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT,WEATHER,BRIGHTEST,EARTH_RESOURCES,NAVIGATION,SCIENTIFIC,MISCELLANEOUS,COMMUNICATION,active geosynchronous,constellations,active_geosynchronous
LUSAT (LO-19),1990-005G,Sattelite,2026-02-22T19:54:40.073472,14.34081031,0.00116378,98.8946,72.4355,176.3243,183.8028,0,U,20442,999,88600,6.2802706e-05,1.29e-06,0.0,False,False,False,False,False,False,False,False,satnogs,
HST,1990-037B,Sattelite,2026-02-22T22:24:56.351520,15.29225828,0.00011429,28.4686,140.6395,321.3922,38.6592,0,U,20580,999,77105,0.00027457943,8.245e-05,0.0,False,False,TDRSS,False,False,False,False,False,False,
SKYNET 4C,1990-079A,Sattelite,2026-02-21T23:10:27.701760,1.00274731,0.00032498,13.3756,350.5951,329.6213,212.6987,0,U,20776,999,12973,0.0,1.33e-06,0.0,False,False,False,False,False,False,False,False,False,geo_protected_zone_plus
USA 65 (DSP 15),1990-095A,Sattelite,2026-02-22T00:43:56.239392,0.98398587,0.00028994,14.0746,344.8396,59.3506,119.7688,0,U,20929,999,2433,0.0,-1.88e-06,0.0,False,False,False,False,False,False,False,False,False,
TDRS 5,1991-054B,Sattelite,2026-02-22T13:37:19.591104,1.00278741,0.0012429,14.0852,354.622,269.8893,284.8321,0,U,21639,999,12656,0.0,9e-07,0.0,False,False,TDRSS,False,False,False,False,False,False,geo_protected_zone_plus
USA 75 (DSP 16),1991-080B,Sattelite,2026-02-22T18:25:06.181824,0.99183443,0.00024324,14.0645,346.3199,62.7015,114.2006,0,U,21805,999,2457,0.0,-7.5e-07,0.0,False,False,False,False,False,False,False,False,False,
LAGEOS 2,1992-070B,Sattelite,2026-02-22T20:44:33.060192,6.47293263,0.01378289,52.6814,338.9072,137.3463,260.3796,0,U,22195,999,78802,0.0,-9e-08,0.0,False,False,False,False,geodetic,False,False,False,False,
TDRS 6,1993-003B,Sattelite,2026-02-22T17:37:19.086816,1.00264859,0.00046739,14.1803,357.9077,204.1497,168.8341,0,U,22314,999,12126,0.0,-2.92e-06,0.0,False,False,TDRSS,False,False,False,False,False,False,geo_protected_zone_plus
SCD 1,1993-009B,Sattelite,2026-02-22T19:49:54.307200,14.46057863,0.00419971,24.9677,193.6564,7.9742,125.3502,0,U,22490,999,74454,6.8914431e-05,4.37e-06,0.0,False,False,False,False,False,False,False,False,False,
UFO 2 (USA 95),1993-056A,Sattelite,2026-02-22T22:54:51.602688,1.00268359,0.00089724,11.8544,4.1732,332.1255,188.9637,0,U,22787,999,11740,0.0,1.28e-06,0.0,False,False,False,False,False,False,False,False,False,geo_protected_zone_plus
STELLA,1993-061B,Sattelite,2026-02-22T23:04:38.637984,14.27467075,0.00059349,98.7876,117.7328,200.3392,336.1825,0,U,22824,999,68847,5.963936e-06,-3.1e-07,0.0,False,False,False,False,geodetic,False,False,False,False,
